         6225866 function calls (6187628 primitive calls) in 13.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.150    0.150 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:3413(new_figure_manager_given_figure)
        1    0.000    0.000    0.150    0.150 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.150    0.150 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
      669    0.002    0.000    0.144    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:2985(mouse_move)
   227999    0.134    0.000    0.134    0.000 c:\Users\arthu\Desktop\SistemasInteligentes-Trab1V2\simulated_annealing.py:26(__init__)
1562/1560    0.092    0.000    0.128    0.000 {method 'call' of '_tkinter.tkapp' objects}
      104    0.004    0.000    0.118    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:65(__init__)
    10688    0.018    0.000    0.112    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1833(frozen)
       18    0.000    0.000    0.104    0.006 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2143(_get_tick_boxes_siblings)
       68    0.001    0.000    0.104    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:412(__init__)
      669    0.002    0.000    0.099    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:2963(_mouse_event_to_message)
        6    0.000    0.000    0.099    0.016 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:2943(_update_title_position)
      6/3    0.000    0.000    0.097    0.032 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\__init__.py:1475(inner)
        3    0.001    0.000    0.097    0.032 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_axes.py:6562(hist)
